vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
MEDIUM LOW,GL,202111,0.17453995632911126,2021,3,0.28125,0.6991525423728814,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,GM,202007,0.20555726841547317,2020,2,0.015625,0.7944915254237288,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GM,202009,0.20555726841547317,2020,2,0.015625,0.7944915254237288,0.2941176470588235,0.588235294117647,True
MEDIUM LOW,GM,202012,0.20555726841547317,2020,3,0.015625,0.7944915254237288,1.8235294117647058,1.176470588235294,True
MEDIUM LOW,GM,202015,0.20555726841547317,2020,4,0.015625,0.7944915254237288,0.47058823529411764,0.588235294117647,True
MEDIUM LOW,GM,202022,0.20555726841547317,2020,5,0.015625,0.7944915254237288,0.2941176470588235,0.588235294117647,True
MEDIUM LOW,GM,202028,0.20555726841547317,2020,7,0.015625,0.9004237288135594,1.176470588235294,0.588235294117647,True
MEDIUM LOW,GM,202029,0.20555726841547317,2020,7,0.015625,0.9004237288135593,0.7058823529411765,0.588235294117647,True
MEDIUM LOW,GM,202034,0.20555726841547317,2020,8,0.015625,0.9004237288135594,1.0588235294117647,0.588235294117647,True
MEDIUM LOW,GM,202037,0.20555726841547317,2020,9,0.015625,0.9004237288135593,0.8235294117647057,0.588235294117647,True
MEDIUM LOW,GM,202038,0.20555726841547317,2020,9,0.015625,0.9004237288135593,0.8235294117647057,0.588235294117647,True
MEDIUM LOW,GM,202042,0.20555726841547317,2020,10,0.015625,0.9004237288135594,0.7647058823529411,0.588235294117647,True
MEDIUM LOW,GM,202046,0.20555726841547317,2020,11,0.015625,0.9004237288135594,0.8823529411764705,0.588235294117647,True
MEDIUM LOW,GM,202047,0.20555726841547317,2020,11,0.015625,0.9004237288135593,0.6470588235294118,0.588235294117647,True
MEDIUM LOW,GM,202101,0.20555726841547317,2021,1,0.015625,0.9004237288135594,0.7647058823529411,0.588235294117647,True
MEDIUM LOW,GM,202108,0.20555726841547317,2021,2,0.015625,0.9004237288135594,0.3529411764705882,0.588235294117647,True
